Text,Count,Weight
Bangalorereet,1,0.000347826
Baptist,1,0.000347826
Barakreet,1,0.000347826
Barlow,1,0.000347826
Barnettreet,1,0.000347826
Barrett,1,0.000347826
Barrettreet,1,0.000347826
Barring,1,0.000347826
Barrupreet,1,0.000347826
Barryne,1,0.000347826
Barwisereet,1,0.000347826
Baskervillene,1,0.000347826
Bassne,1,0.000347826
Bateman,1,0.000347826
Bath,1,0.000347826
Batmanreet,1,0.000347826
Batmans,1,0.000347826
Baudinne,1,0.000347826
Baysideenue,1,0.000347826
Bayswater,1,0.000347826
Beaconfield,1,0.000347826
Beaconsfield,1,0.000347826
Beaneyne,1,0.000347826
Beard,1,0.000347826
Beatrice,1,0.000347826
Beaufort,1,0.000347826
Bedford,1,0.000347826
Bedfordreet,1,0.000347826
Bellane,1,0.000347826
Belle,1,0.000347826
Vue,1,0.000347826
Bells,1,0.000347826
Belman,1,0.000347826
Belmont,1,0.000347826
Bendigoreet,1,0.000347826
Benjaminne,1,0.000347826
Benjaminreet,1,0.000347826
Benson,1,0.000347826
Bent,1,0.000347826
Bentreet,1,0.000347826
Bernardine,1,0.000347826
Berryreet,1,0.000347826
Bertie,1,0.000347826
Bickfordne,1,0.000347826
Bionic,1,0.000347826
Ear,1,0.000347826
Birchne,1,0.000347826
Birdwoodenue,1,0.000347826
Blackwoodreet,1,0.000347826
Blakeney,1,0.000347826
Bleakhouse,1,0.000347826
Blenderne,1,0.000347826
Bligh,1,0.000347826
Bluestonereet,1,0.000347826
Boathouse,1,0.000347826
Bolte,1,0.000347826
Bondreet,1,0.000347826
Boneshaker,1,0.000347826
Boom,1,0.000347826
Boughton,1,0.000347826
Boulton,1,0.000347826
Boundaryne,1,0.000347826
Boundaryreet,1,0.000347826
Pedestrian,1,0.000347826
Bouverie,1,0.000347826
Bouveriereet,1,0.000347826
Bowenescent,1,0.000347826
Bowenreet,1,0.000347826
Boyd,1,0.000347826
Brabhamne,1,0.000347826
Bradfieldne,1,0.000347826
Brady,1,0.000347826
Brahe,1,0.000347826
Brens,1,0.000347826
Brentani,1,0.000347826
Bridleway,1,0.000347826
Brienne,1,0.000347826
Brights,1,0.000347826
Brightside,1,0.000347826
Briscoene,1,0.000347826
Brock,1,0.000347826
Brombyreet,1,0.000347826
Brompton,1,0.000347826
Broughamreet,1,0.000347826
Brown,1,0.000347826
Browns,1,0.000347826
Brownsne,1,0.000347826
Brucereet,1,0.000347826
Brunswick,1,0.000347826
Bruntonenue,1,0.000347826
Buchanne,1,0.000347826
Bullane,1,0.000347826
Bullensne,1,0.000347826
Bunbury,1,0.000347826
Buncles,1,0.000347826
Bunjil,1,0.000347826
Bunnyne,1,0.000347826
Burnett,1,0.000347826
Butlerne,1,0.000347826
Cairncrossne,1,0.000347826
Caledonianne,1,0.000347826
Callahansne,1,0.000347826
Calwellreet,1,0.000347826
Cambridge,1,0.000347826
Cameron,1,0.000347826
Canadane,1,0.000347826
Canal,1,0.000347826
Canberrareet,1,0.000347826
Canning,1,0.000347826
Canningne,1,0.000347826
Capel,1,0.000347826
Capitol,1,0.000347826
Captains,1,0.000347826
Caravelne,1,0.000347826
Cardiffne,1,0.000347826
Cargone,1,0.000347826
Carlow,1,0.000347826
Carlton,1,0.000347826
Carltonreet,1,0.000347826
Carrangal,1,0.000347826
Carrollreet,1,0.000347826
Carrollsne,1,0.000347826
Carrsne,1,0.000347826
Carson,1,0.000347826
Casamento,1,0.000347826
Casino,1,0.000347826
Carpark,1,0.000347826
Ent,1,0.000347826
Casselden,1,0.000347826
Cathayne,1,0.000347826
Cathedral,1,0.000347826
Catherinereet,1,0.000347826
Cavell,1,0.000347826
Caytreescent,1,0.000347826
Celestialenue,1,0.000347826
Central,1,0.000347826
Centrene,1,0.000347826
Centreway,1,0.000347826
Challisne,1,0.000347826
Chapter,1,0.000347826
Grimes,1,0.000347826
Chauvel,1,0.000347826
Chessell,1,0.000347826
Chesterne,1,0.000347826
Chetwynd,1,0.000347826
Chinnockne,1,0.000347826
Chummie,1,0.000347826
Churchne,1,0.000347826
Citadel,1,0.000347826
Cl0003,1,0.000347826
Cl0020,1,0.000347826
Cl0021,1,0.000347826
Cl0034,1,0.000347826
Cl0039,1,0.000347826
Cl0049,1,0.000347826
Cl0053,1,0.000347826
Cl0077,1,0.000347826
Cl0078,1,0.000347826
Cl0092,1,0.000347826
Cl0094,1,0.000347826
Cl0106,1,0.000347826
Cl0111,1,0.000347826
Cl0144,1,0.000347826
Cl0146,1,0.000347826
Cl0154,1,0.000347826
Cl0158,1,0.000347826
Cl0160,1,0.000347826
Cl0177,1,0.000347826
Cl0178,1,0.000347826
Cl0179,1,0.000347826
Cl0180,1,0.000347826
Cl0201,1,0.000347826
Cl0214,1,0.000347826
Cl0219,1,0.000347826
Cl0235,1,0.000347826
Cl0242,1,0.000347826
Cl0266,1,0.000347826
Cl0273,1,0.000347826
Cl0281,1,0.000347826
Cl0306,1,0.000347826
Cl0313,1,0.000347826
Cl0318,1,0.000347826
Cl0353,1,0.000347826
Cl0386,1,0.000347826
Cl0391,1,0.000347826
Cl0414,1,0.000347826
Cl0439,1,0.000347826
